Key,Id,English(en),Portuguese(pt),Spanish(es)
"MainMenu",29061496832,"Main Menu","Menu Principal",
"SandboxSettings",508399140864,"SARndbox                                                                                      Settings","Configuração                                                                                         da SARndbox",
"ShareData",644865015808,"Share                                                              Data","Compartilhar Dados",
"DevelopedBy",693468610560,"Developed by Lachlan Smith with","Desenvolvido por Lachlan Smith com",
"InConjuctionWith",744769142784,"In Conjuction With:","Em parceria com:",
"ModifiedBy",820094648320,"Modified by:","Modificado por:",
"AnyProblemsOrQuetions",868127817728,"Any problems Or quetions?","Algum problema ou questão?",
"FeelFreeToContact",2001927880704,"Feel free to contact","Sinta-se à vontade para contactar",
"ExitSimulation",2004201193472,"Exit Simulation","Sair da Simulação",
"SandboxModes",2005954412544,"Sandbox Modes","Modos da SARndbox",
"Simulations",2195536953344,"Simulations","Simulações",
"Simulations_WaterSimulation",2202088456192,"Water Simulation","Água",
"Simulations_FireSimulation",2204386934784,"Fire Simulation","Fogo",
"Simulations_GeologySimulation",2209092943872,"Geology Simulation","Geologia",
"Simulations_WindSimulation",13016983879680,"Wind Simulation","Vento",
"Tools",13019521433600,"Tools","Ferramentas",
"TopographyBuilder",13023657017344,"Topography Builder","Construtor de Topografia",
"Wind_WindOptions",13476197253120,"Wind Options","Opções de Vento",
"Wind_EnableWind",13482048307200,"Enable Wind","Ativar Vento",
"Wind_EnableCoriolisEffect",13634171518976,"Enable Coriolis Effect","Ativar Efeito Coriolis",
"Wind_EarthHemisphere",13635710828544,"Earth Hemisphere","Hemisfério Terrestre",
"Wind_Southern",13638403571712,"Southern","Hemisfério Sul",
"Wind_Northern",16003143778304,"Northern","Hemisfério Norte",
"Wind_WindSpeedMultiplier",16004787945472,"Wind Speed Multiplier","Multiplicador de Velocidade do Vento",
"Wind_Slow",16005958156288,"Slow","Lento",
"Wind_Value",16170899161088,"Value: 100.0%","Valor: 100.0%",
"Wind_Fast",16172195201024,"Fast","Rápido",
"Water_WaterOptions",16336364453888,"Water Options","Opções de Água",
"Water_ShowParticles",16337597579264,"Show Particles","Exibir Partículas",
"Water_ClearWater",16339174637568,"Clear Water","Limpar Água",
"Fire_FireOptions",16485123833856,"Fire Options","Opções de Fogo",
"Fire_WindOption",16487447478272,"Wind Option","Opções de Vento",
"Fire_WindBlowingTo",16489016147968,"Wind Blowing To","Vento Soprando para",
"Fire_WindSpeed",17368951767040,"Wind Speed","Velocidade do Vento",
"Fire_WindSpeed_Lower",17370906312704,"Lower","Abaixar",
"Fire_WindSpeed_Ms",17372214935552,"m/s","m/s",
"Fire_WindSpeed_Higher",17831705133056,"Higher","Aumentar",
"Fire_WindSpeed_Value",17832866955264,"Value: 0.00 m/s","Valor: 0.00 m/s",
"Fire_LandscapeOtions",17834393681920,"Landscape Otions","Opções de Paisagem",
"Fire_LandscapeZoom",19449301385216,"Landscape Zoom","Zoom da Paisagem",
"Fire_LandscapeOptions_Far",19451088158720,"Far","Distante",
"Fire_LandscapeOptions_Porcentage",19452514222080,"Porcentage","Porcentagem",
"Fire_LandscapeOptions_Close",19454049337344,"Close","Próximo",
"Fire_LandscapeOptions_Value",19455672532992,"Value: 100%","Valor: 100%",
"Fire_RandomiseFlora",19457228619776,"Randomise Flora","Randomizar Flora",
"Fire_PauseSimulation",19458935701504,"Pause Simulation","Pausar Simulação",
"Fire_ResumeSimulation",19460684726272,"Resume Simulation","Continuar Simulação",
"Fire_ResetSimulation",19462429556736,"Reset Simulation","Reiniciar Simulação",
"Geology_Beds",20624306290688,"Beds","Leitos",
"Geology_Beds_GeologicalBedOrder",20767709544448,"Geological Bed Order","Ordem Geológico do leito",
"Geology_Beds_GeologicalLayer_Basalt",20772541382656,"Basalt","Basalto - Ígnea Eruptiva",
"Geology_Beds_GeologicalLayer_Gabbro",20774399459328,"Gabbro","Gabro - Ígnea Intrusiva",
"Geology_Beds_GeologicalLayer_Granodiorite",20776647606272,"Granodiorite","Granodiorito - Ígnea Plutônica",
"Geology_Beds_GeologicalLayer_Rhyolite",20778367270912,"Rhyolite","Riolito - Ígnea Vulcânica",
"Geology_Beds_GeologicalLayer_Sandstone",20780246319104,"Sandstone","Arenito - Sedimentar",
"Geology_Beds_GeologicalLayer_Mudstone",20782070841344,"Mudstone","Argila",
"Geology_Beds_GeologicalLayer_Conglomerate",20783853420544,"Conglomerate","Conglomerado - Sedimentar",
"Geology_Beds_GeologicalLayer_Limestone",20785715691520,"Limestone","Calcário - Sedimentar",
"Geology_Beds_GeologicalLayer_Coal",20787460521984,"Coal","Carvão - Sedimentar",
"Geology_Beds_GeologicalLayer_Breccia",20789083717632,"Breccia","Brecha – Sedimentar",
"Geology_Beds_GeologicalLayer_Slate",20791264755712,"Slate","Ardósia – Metamórfica",
"Geology_Beds_GeologicalLayer_Schist",20792925700096,"Schist","Xisto - Sedimentar",
"Geology_Beds_GeologicalLayer_Gneiss",20794804748288,"Gneiss","Gneisse - Metamórfica",
"Geology_Beds_GeologicalLayer_Hornfels",20796818014208,"Hornfels","Corneana – Metamórfica",
"Geology_Beds_GeologicalLayer_Marble",20798705451008,"Marble","Mármore - Metamórfica",
"Geology_Beds_GeologicalLayer_Quartzite",20800454475776,"Quartzite","Quartzito – Metamórfica",
"Geology_Beds_BedRockOffset",20802283192320,"Bed Rock Offset","Deslocamento da Rocha do Leito",
"Geology_Beds_BedRockOffset_Value",20803877027840,"Value: 0.0 mm","Valor: 0.0 mm",
"Geology_Beds_BedRockOffset_Lower",20805563138048,"Lower","Mais baixo",
"Geology_Beds_BedRockOffset_Higher",20807165362176,"Higher","Mais Alto",
"Geology_Beds_AddBed",20808780169216,"Add Bed","Adicionar Leito",
"Geology_Beds_AddBed_AddBedMenu",20810348838912,"Add Bed Menu","Menu de Adição de Leito",
"Geology_Beds_AddBed_EditBedMenu",20811871371264,"Edit Bed Menu","Menu de Edição de Leito",
"Geology_Beds_BedSelection",20813502955520,"Bed Selection","Seleção do Leito",
"Geology_Beds_Thickness",20814945796096,"Bed Thickness","Espessura do Leito",
"Geology_Beds_Thickness_Value",20816539631616,"Value: 0.0 mm","Valor: 0.0 mm",
"Geology_Beds_Thickness_Lower",20818078941184,"Lower","Mais baixo",
"Geology_Beds_Thickness_Higher",20819832160256,"Higher","Mais Alto",
"Geology_Beds_Texture",20821518270464,"Bed Texture","Textura do Leito",
"Geology_Beds_Summary",20823019831296,"Bed Summary","Resumo do Leito",
"Geology_Transforms",20824496226304,"Transforms","Transformações",
"Geology_Transforms_GeologicalHistory",20825884540928,"Geological History","História Geológica",
"Geology_Transforms_AddTransform",20827386101760,"Add Transform","Adicionar Tranformação",
"Geology_Transforms_AddTransformMenu",20829017686016,"Add Transform Menu","Menu de Adição de Tranformação",
"Geology_Transforms_EditTransformMenu",20830758322176,"Edit Transform Menu","Menu de Edição de Tranformação",
"Geology_Transforms_EditTransformMenu_SelectTransform",20832377323520,"Select Transform","Selecione a Transformação",
"Geology_Transforms_EditTransformMenu_SelectTransform_Tilt",20833874690048,"Tilt","Declive",
"Geology_Transforms_EditTransformMenu_SelectTransform_Fold",20835153952768,"Fold","Dobra",
"Geology_Transforms_EditTransformMenu_SelectTransform_Fault",20836634542080,"Fault","Falha",
"Geology_Transforms_EditTransformMenu_SelectTransform_TiltTransform",20837943164928,"Tilt Transform","Transformação Declive",
"Geology_Transforms_EditTransformMenu_SelectTransform_FoldTransform",20839465697280,"Fold Transform","Transformação Dobra",
